stream_size,B,step,processed_size,exact,mean_estimate,stddev
100000,6,1,10000,9746,10439.8,1464.28
100000,6,2,20000,19391,19753.7,2626.36
100000,6,3,30000,29033,29188.3,3329.24
100000,6,4,40000,38612,39058.6,4998.24
100000,6,5,50000,48177,49280.5,6030.33
100000,6,6,60000,57701,59707.9,6588.64
100000,6,7,70000,67211,68851.1,8139.44
100000,6,8,80000,76730,80623.8,10423.5
100000,6,9,90000,86195,90669.1,11331.1
100000,6,10,100000,95639,101951,11992.6
100000,8,1,10000,9746,10259.8,623.769
100000,8,2,20000,19391,19829.9,1135.66
100000,8,3,30000,29033,30556.3,1782.76
100000,8,4,40000,38612,40818.2,2679.98
100000,8,5,50000,48177,51138.8,3436.7
100000,8,6,60000,57701,61866,4052.9
100000,8,7,70000,67211,72014.7,4391.49
100000,8,8,80000,76730,82415.4,5495.74
100000,8,9,90000,86195,92096.2,6185.41
100000,8,10,100000,95639,103398,6751.72
100000,10,1,10000,9746,9730.75,326.882
100000,10,2,20000,19391,19186,717.005
100000,10,3,30000,29033,28891.2,987.18
100000,10,4,40000,38612,38657.4,1325.68
100000,10,5,50000,48177,48148.5,1678.47
100000,10,6,60000,57701,57634.2,1940.28
100000,10,7,70000,67211,67168,2197.11
100000,10,8,80000,76730,76634.9,2302.7
100000,10,9,90000,86195,86141.4,2502.01
100000,10,10,100000,95639,96066.7,2574.06
100000,12,1,10000,9746,9990.84,131.26
100000,12,2,20000,19391,19286,236.401
100000,12,3,30000,29033,28937.3,395
100000,12,4,40000,38612,38672.7,478.301
100000,12,5,50000,48177,48232,846.27
100000,12,6,60000,57701,57808,877.711
100000,12,7,70000,67211,67254,979.34
100000,12,8,80000,76730,76999.6,953.538
100000,12,9,90000,86195,86402.4,973.355
100000,12,10,100000,95639,96032.5,1262.1
300000,6,1,30000,29033,29188.3,3329.24
300000,6,2,60000,57701,59707.9,6588.64
300000,6,3,90000,86195,90669.1,11331.1
300000,6,4,120000,114570,126200,14856.7
300000,6,5,150000,142842,158574,22211.1
300000,6,6,180000,171073,190747,23463.1
300000,6,7,210000,199214,220927,28691.2
300000,6,8,240000,227380,252410,32110.2
300000,6,9,270000,255484,286121,32432.8
300000,6,10,300000,283524,316112,41650.5
300000,8,1,30000,29033,30556.3,1782.76
300000,8,2,60000,57701,61866,4052.9
300000,8,3,90000,86195,92096.2,6185.41
300000,8,4,120000,114570,125190,6866.58
300000,8,5,150000,142842,154288,9463.73
300000,8,6,180000,171073,185324,11478.2
300000,8,7,210000,199214,214920,13855.5
300000,8,8,240000,227380,246241,18442.9
300000,8,9,270000,255484,277973,19504.5
300000,8,10,300000,283524,307943,18157
300000,10,1,30000,29033,28891.2,987.18
300000,10,2,60000,57701,57634.2,1940.28
300000,10,3,90000,86195,86141.4,2502.01
300000,10,4,120000,114570,115059,3308.99
300000,10,5,150000,142842,143085,4594.68
300000,10,6,180000,171073,171262,4679.68
300000,10,7,210000,199214,199238,5202.23
300000,10,8,240000,227380,226453,6362.04
300000,10,9,270000,255484,254940,7804.99
300000,10,10,300000,283524,282173,8822.55
300000,12,1,30000,29033,28937.3,395
300000,12,2,60000,57701,57808,877.711
300000,12,3,90000,86195,86402.4,973.355
300000,12,4,120000,114570,114751,1657.96
300000,12,5,150000,142842,142873,2097.13
300000,12,6,180000,171073,170994,2907.52
300000,12,7,210000,199214,198938,3022.74
300000,12,8,240000,227380,226412,3853.76
300000,12,9,270000,255484,254819,4759.66
300000,12,10,300000,283524,282757,5093.3
600000,6,1,60000,57701,59707.9,6588.64
600000,6,2,120000,114570,126200,14856.7
600000,6,3,180000,171073,190747,23463.1
600000,6,4,240000,227380,252410,32110.2
600000,6,5,300000,283524,316112,41650.5
600000,6,6,360000,339534,384496,47227.8
600000,6,7,420000,395530,442082,53517.7
600000,6,8,480000,451384,495748,64493.1
600000,6,9,540000,507329,560149,75467.7
600000,6,10,600000,563214,615686,85215.1
600000,8,1,60000,57701,61866,4052.9
600000,8,2,120000,114570,125190,6866.58
600000,8,3,180000,171073,185324,11478.2
600000,8,4,240000,227380,246241,18442.9
600000,8,5,300000,283524,307943,18157
600000,8,6,360000,339534,368484,23531.6
600000,8,7,420000,395530,426073,27844.7
600000,8,8,480000,451384,481890,30705.3
600000,8,9,540000,507329,539954,37987.2
600000,8,10,600000,563214,595842,43225.8
600000,10,1,60000,57701,57634.2,1940.28
600000,10,2,120000,114570,115059,3308.99
600000,10,3,180000,171073,171262,4679.68
600000,10,4,240000,227380,226453,6362.04
600000,10,5,300000,283524,282173,8822.55
600000,10,6,360000,339534,339452,9015.75
600000,10,7,420000,395530,394504,11008
600000,10,8,480000,451384,452600,13554
600000,10,9,540000,507329,508310,15369.1
600000,10,10,600000,563214,562598,17033.5
600000,12,1,60000,57701,57808,877.711
600000,12,2,120000,114570,114751,1657.96
600000,12,3,180000,171073,170994,2907.52
600000,12,4,240000,227380,226412,3853.76
600000,12,5,300000,283524,282757,5093.3
600000,12,6,360000,339534,338310,5095.39
600000,12,7,420000,395530,394069,6175.08
600000,12,8,480000,451384,450238,7299.63
600000,12,9,540000,507329,505501,8997.03
600000,12,10,600000,563214,559165,9601.75
